Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8
Le,feu,de,cheminée,réchauffe,toute,la,maison.
Il,faut,acheter,du,pain,pour,le,dîner.
Elle,rêve,souvent,de,voler,comme,un,oiseau.
J’ai,acheté,une,écharpe,rouge,pour,cet,hiver.
Il,joue,de,la,guitare,chaque,soir,tard.
Elle,lit,souvent,au,lit,avant,de,dormir.
Il,préfère,le,thé,au,café,chaque,matin.
Tu,devrais,essayer,ce,plat,c’est,délicieux,vraiment.
Elle,prend,toujours,le,bus,pour,aller,travailler.
Il,collectionne,les,pièces,anciennes,depuis,son,enfance.
Nous,avons,ri,jusqu’à,en,pleurer,hier,soir.
Il,adore,regarder,les,documentaires,sur,les,animaux.
Ce,livre,contient,beaucoup,de,sagesse,ancienne,oubliée.
Nous,avons,dégusté,un,repas,exquis,hier,soir.
Tu,me,fais,toujours,rire,avec,tes,blagues.
Le,gâteau,est,prêt,il,faut,le,servir.
Elle,court,chaque,soir,dans,le,parc,voisin.
Ils,ont,adopté,un,petit,chat,abandonné,hier.
Le,ciel,s’assombrit,la,pluie,va,bientôt,tomber.
Elle,raconte,des,histoires,merveilleuses,à,ses,enfants.
Il,a,oublié,de,fermer,la,fenêtre,encore.
Le,feu,crépite,doucement,dans,la,cheminée,ancienne.
Elle,est,partie,sans,dire,un,mot,étrange.
Ils,vont,construire,une,terrasse,derrière,la,maison.
Ce,roman,m’a,beaucoup,appris,sur,la,vie.
Il,travaille,tard,tous,les,soirs,cette,semaine.
Elle,écoute,toujours,de,la,musique,en,travaillant.
J’ai,adoré,ce,voyage,en,Écosse,merveilleux,paysages.
Tu,peux,m’aider,à,finir,ce,puzzle,?
Le,lac,est,gelé,attention,en,marchant,dessus.
Elle,parle,trois,langues,avec,une,aisance,incroyable.
Il,a,réparé,la,voiture,tout,seul,incroyable.
Nous,avons,fait,du,vélo,dans,la,campagne.
Elle,a,tricoté,ce,pull,pour,son,neveu.
Elle,prépare,des,biscuits,pour,ses,petits-enfants,adorés.
Il,a,planté,des,fleurs,dans,le,jardin.
Nous,avons,visité,le,château,sous,la,pluie.
Elle,adore,les,histoires,de,pirates,et,trésors.
Ce,chat,adore,grimper,sur,les,meubles,hauts.
J’ai,trouvé,un,vieux,journal,dans,le,grenier.
Elle,regarde,la,pluie,tomber,à,la,fenêtre.
Tu,pourrais,téléphoner,à,ta,sœur,ce,soir.
Il,adore,marcher,pieds,nus,dans,l’herbe,fraîche.
Il,a,crié,quand,il,a,vu,l’ours.
Tu,aimes,le,fromage,plus,que,le,dessert.
Elle,peint,des,paysages,inspirés,par,ses,rêves.
Le,soleil,brille,après,une,longue,semaine,grise.
Nous,avons,réservé,une,table,pour,ce,soir.
Elle,fait,du,yoga,chaque,matin,avant,déjeuner.
Tu,dois,réparer,ce,robinet,qui,fuit,encore.
Ils,sont,partis,en,vacances,sans,leurs,valises.
Le,spectacle,commence,bientôt,prends,ton,billet,vite.
Elle,regarde,les,nuages,passer,lentement,au,ciel.
Il,peint,un,tableau,dans,son,atelier,tranquille.
Tu,veux,un,morceau,de,chocolat,noir,?
Il,fait,chaud,aujourd’hui,buvons,quelque,chose,ensemble.
Nous,allons,cueillir,des,cerises,dans,le,verger.
Tu,fais,toujours,brûler,les,tartines,fais,attention.
Il,a,écrit,un,poème,pour,son,amour.
Elle,cherche,son,téléphone,depuis,une,heure,déjà.
Elle,cueille,des,fleurs,sauvages,chaque,matin,tranquille.
Il,déteste,faire,la,vaisselle,après,le,dîner.
Tu,pourrais,mettre,ton,manteau,il,fait,froid.
Le,chat,miaule,fort,quand,il,a,faim.
Ils,ont,repeint,leur,chambre,en,vert,menthe.
Tu,fais,trop,de,bruit,en,mangeant,chut.
Je,regarde,les,étoiles,chaque,soir,c’est,apaisant.
Le,gâteau,a,brûlé,j’ai,oublié,le,minuteur.
Nous,avons,entendu,un,bruit,étrange,cette,nuit.
Elle,a,chanté,toute,la,chanson,sans,faute.
Le,chat,dort,paisiblement,sur,le,canapé,gris.
Nous,avons,marché,longtemps,dans,la,forêt,humide.
Elle,prépare,une,tarte,aux,pommes,pour,demain.
Il,lit,un,roman,captivant,près,de,moi.
Tu,as,laissé,tes,clés,sur,la,table.
Les,enfants,jouent,bruyamment,dans,le,jardin,vert.
J’ai,vu,un,renard,près,du,vieux,moulin.
Nous,irons,à,la,plage,s’il,fait,beau.
Elle,chante,toujours,sous,la,douche,chaque,matin.
Le,facteur,apporte,une,lettre,dans,sa,sacoche.
Il,a,cassé,la,chaise,sans,le,vouloir.
Tu,devrais,dormir,un,peu,plus,la,nuit.
Nous,avons,mangé,des,crêpes,à,la,fraise.
Ils,ont,repeint,le,mur,avec,beaucoup,soin.
Il,porte,un,chapeau,bizarre,pour,cette,fête.
Cette,rue,est,toujours,bruyante,le,vendredi,soir.
Elle,rêve,de,voyager,autour,du,monde,entier.
On,entend,le,vent,souffler,fort,ce,soir.
Le,vieux,chien,marche,lentement,dans,la,neige.
Elle,trouve,cette,robe,vraiment,trop,chère,hélas.
Il,regarde,les,étoiles,allongé,sur,le,sol.
Nous,partons,demain,pour,un,grand,voyage,extraordinaire.
Tu,devrais,appeler,ta,mère,plus,souvent,maintenant.
Ils,parlent,tous,en,même,temps,c’est,pénible.
Le,soleil,se,couche,derrière,les,hautes,montagnes.
Ce,fromage,sent,très,mauvais,mais,goûte,bon.
Elle,porte,toujours,des,chaussures,rouges,au,travail.
Je,t’ai,cherché,partout,dans,tout,le,quartier.
Le,ciel,est,magnifique,après,la,grosse,tempête.
Mon,cousin,adore,les,puzzles,très,compliqués,maintenant.
Cette,maison,semble,abandonnée,depuis,plusieurs,longues,années.
J'ai,perdu,mes,lunettes,dans,le,parc,public.
Nous,avons,bien,ri,pendant,tout,le,spectacle.
Le,bébé,pleure,quand,il,voit,le,chien.
Elle,écrit,chaque,matin,dans,son,petit,journal.
Il,déteste,les,légumes,surtout,les,brocolis,verts.
Cette,histoire,me,rappelle,mon,enfance,à,Paris.
Ils,préparent,une,surprise,pour,leur,meilleure,amie.
J’entends,souvent,des,oiseaux,chanter,très,tôt,matin.
Le,livre,est,tombé,sur,le,sol,dur.
Nous,avons,attendu,longtemps,dans,le,froid,glacial.
Il,a,cassé,son,téléphone,en,tombant,hier.
Tu,oublies,toujours,tes,affaires,dans,le,train.
Mon,voisin,joue,du,piano,toute,la,journée.
Je,déteste,me,lever,tôt,les,dimanches,matins.
Ce,restaurant,sert,les,meilleures,pâtes,de,Marseille.
